,Locationabbr,QuestionID,RESPONSEID,Confidence_limit_High_2011,Confidence_limit_High_2012,Confidence_limit_High_2013,Confidence_limit_High_2014,Confidence_limit_High_2015,Confidence_limit_High_2016,Confidence_limit_High_2017,Confidence_limit_Low_2011,Confidence_limit_Low_2012,Confidence_limit_Low_2013,Confidence_limit_Low_2014,Confidence_limit_Low_2015,Confidence_limit_Low_2016,Confidence_limit_Low_2017,Data_value_2011,Data_value_2012,Data_value_2013,Data_value_2014,Data_value_2015,Data_value_2016,Data_value_2017,Sample_Size_2011,Sample_Size_2012,Sample_Size_2013,Sample_Size_2014,Sample_Size_2015,Sample_Size_2016,Sample_Size_2017
0,10020,BLOODCHO,RESP046,84.25,,,,,,,66.49,,,,,,,75.37,,,,,,,452.0,,,,,,
1,10020,Custom_8,Custom_8,0.5674351149404245,,,,,,,0.3666235290823963,,,,,,,0.4670293220114104,,,,,,,189.0,,,,,,
2,10020,Custom_9,Custom_9,74.31525599643345,,,,,,,44.72474400356654,,,,,,,59.519999999999996,,,,,,,327.0,,,,,,
3,10020,DIABETE3,RESP046,14.43,,,,,,,7.77,,,,,,,11.1,,,,,,,83.0,,,,,,
4,10020,DRNKANY5,RESP046,63.45,,,,,,,46.79,,,,,,,55.12,,,,,,,248.0,,,,,,
5,10020,_HCVU651,RESP046,87.77,,,,,,,73.39,,,,,,,80.58,,,,,,,270.0,,,,,,
6,10020,_RFHLTH,RESP061,85.32,,,,,,,75.28,,,,,,,80.3,,,,,,,390.0,,,,,,
7,10020,_RFHYPE5,RESP046,40.19,,,,,,,26.97,,,,,,,33.58,,,,,,,238.0,,,,,,
8,10020,_RFSMOK3,RESP046,20.49,,,,,,,11.91,,,,,,,16.2,,,,,,,101.0,,,,,,
9,10020,_TOTINDA,RESP046,75.34,,,,,,,59.78,,,,,,,67.56,,,,,,,311.0,,,,,,
10,10100,BLOODCHO,RESP046,83.51,,,,89.81,,,69.01,,,,80.55,,,76.26,,,,85.18,,,474.0,,,,517.0,,
11,10100,Custom_8,Custom_8,0.6983120382475045,,,,0.38792383635944305,,,0.4621915022717715,,,,0.2756122049648114,,,0.580251770259638,,,,0.33176802066212724,,,216.0,,,,199.0,,
12,10100,Custom_9,Custom_9,77.72424687385403,,,86.03334687966344,81.23753476018356,,80.0374615818206,46.35575312614597,,,62.24665312033656,58.40246523981644,,51.24253841817941,62.04,,,74.14,69.82000000000001,,65.64,343.0,,,416.0,371.0,,323.0
13,10100,DIABETE3,RESP046,8.4,,,9.41,11.26,,16.08,3.82,,,5.25,5.92,,8.12,6.11,,,7.33,8.59,,12.1,57.0,,,61.0,65.0,,78.0
14,10100,DRNKANY5,RESP046,56.26,,,67.86,64.62,,60.0,41.52,,,57.08,53.64,,45.54,48.89,,,62.47,59.13,,52.77,288.0,,,343.0,309.0,,235.0
15,10100,_HCVU651,RESP046,91.83,,,96.02,93.66,,94.06,78.27,,,85.4,85.12,,82.7,85.05,,,90.71,89.39,,88.38,299.0,,,354.0,303.0,,239.0
16,10100,_RFHLTH,RESP061,85.35,,,87.63,91.53,,90.99,74.29,,,79.67,85.17,,82.49,79.82,,,83.65,88.35,,86.74,448.0,,,514.0,506.0,,427.0
17,10100,_RFHYPE5,RESP046,38.5,,,,33.05,,37.79,25.44,,,,24.19,,25.37,31.97,,,,28.62,,31.58,230.0,,,,219.0,,224.0
18,10100,_RFSMOK3,RESP046,30.65,,,23.99,19.37,,21.86,17.51,,,13.29,10.71,,10.68,24.08,,,18.64,15.04,,16.27,85.0,,,72.0,65.0,,65.0
19,10100,_TOTINDA,RESP046,77.21,,,79.65,79.82,,76.65,64.15,,,68.83,69.82,,61.87,70.68,,,74.24,74.82,,69.26,387.0,,,478.0,410.0,,364.0
20,10380,BLOODCHO,RESP046,,,87.51,,,,,,,78.61,,,,,,,83.06,,,,,,,521.0,,,,
21,10380,Custom_8,Custom_8,,,0.49348863266488835,,,,,,,0.35818485637917613,,,,,,,0.42583674452203224,,,,,,,216.0,,,,
