,Locationabbr,QuestionID,RESPONSEID,Confidence_limit_High_2011,Confidence_limit_High_2012,Confidence_limit_High_2013,Confidence_limit_High_2014,Confidence_limit_High_2015,Confidence_limit_High_2016,Confidence_limit_High_2017,Confidence_limit_Low_2011,Confidence_limit_Low_2012,Confidence_limit_Low_2013,Confidence_limit_Low_2014,Confidence_limit_Low_2015,Confidence_limit_Low_2016,Confidence_limit_Low_2017,Data_value_2011,Data_value_2012,Data_value_2013,Data_value_2014,Data_value_2015,Data_value_2016,Data_value_2017,Sample_Size_2011,Sample_Size_2012,Sample_Size_2013,Sample_Size_2014,Sample_Size_2015,Sample_Size_2016,Sample_Size_2017,mean_and_cl,anova_p,param_list,trend_class
0,10020,BLOODCHO,RESP046,84.25,,,,,,,66.49,,,,,,,75.37,,,,,,,452.0,,,,,,,"[[75.37, nan, nan, nan, nan, nan, nan], [66.49, nan, nan, nan, nan, nan, nan]]",1.0,"[0, 0, 75.37]",00
1,10020,Custom_8,Custom_8,56.74351149404245,,,,,,,36.662352908239626,,,,,,,46.70293220114104,,,,,,,189.0,,,,,,,"[[46.70293220114104, nan, nan, nan, nan, nan, nan], [36.662352908239626, nan, nan, nan, nan, nan, nan]]",1.0,"[0, 0, 46.70293220114104]",00
2,10020,Custom_9,Custom_9,74.31525599643345,,,,,,,44.72474400356654,,,,,,,59.519999999999996,,,,,,,327.0,,,,,,,"[[59.519999999999996, nan, nan, nan, nan, nan, nan], [44.72474400356654, nan, nan, nan, nan, nan, nan]]",1.0,"[0, 0, 59.519999999999996]",00
3,10020,DIABETE3,RESP046,14.43,,,,,,,7.77,,,,,,,11.1,,,,,,,83.0,,,,,,,"[[11.1, nan, nan, nan, nan, nan, nan], [7.77, nan, nan, nan, nan, nan, nan]]",1.0,"[0, 0, 11.1]",00
4,10020,DRNKANY5,RESP046,63.45,,,,,,,46.79,,,,,,,55.12,,,,,,,248.0,,,,,,,"[[55.12, nan, nan, nan, nan, nan, nan], [46.79, nan, nan, nan, nan, nan, nan]]",1.0,"[0, 0, 55.12]",00
5,10020,_HCVU651,RESP046,87.77,,,,,,,73.39,,,,,,,80.58,,,,,,,270.0,,,,,,,"[[80.58, nan, nan, nan, nan, nan, nan], [73.39, nan, nan, nan, nan, nan, nan]]",1.0,"[0, 0, 80.58]",00
6,10020,_RFHLTH,RESP061,85.32,,,,,,,75.28,,,,,,,80.3,,,,,,,390.0,,,,,,,"[[80.3, nan, nan, nan, nan, nan, nan], [75.28, nan, nan, nan, nan, nan, nan]]",1.0,"[0, 0, 80.3]",00
7,10020,_RFHYPE5,RESP046,40.19,,,,,,,26.97,,,,,,,33.58,,,,,,,238.0,,,,,,,"[[33.58, nan, nan, nan, nan, nan, nan], [26.97, nan, nan, nan, nan, nan, nan]]",1.0,"[0, 0, 33.58]",00
8,10020,_RFSMOK3,RESP046,20.49,,,,,,,11.91,,,,,,,16.2,,,,,,,101.0,,,,,,,"[[16.2, nan, nan, nan, nan, nan, nan], [11.91, nan, nan, nan, nan, nan, nan]]",1.0,"[0, 0, 16.2]",00
9,10020,_TOTINDA,RESP046,75.34,,,,,,,59.78,,,,,,,67.56,,,,,,,311.0,,,,,,,"[[67.56, nan, nan, nan, nan, nan, nan], [59.78, nan, nan, nan, nan, nan, nan]]",1.0,"[0, 0, 67.56]",00
