,Locationabbr,Locationdesc,GeoLocation,Simpledesc
0,10020,"Abbeville, LA Micropolitan Statistical Area","(29.7868663, -92.290084)","Abbeville, LA "
1,10100,"Aberdeen, SD Micropolitan Statistical Area","(45.5222131, -98.7041456)","Aberdeen, SD "
2,10380,"Aguadilla-Isabela, PR Metropolitan Statistical Area","(20.795, -67.847)","Aguadilla-Isabela, PR "
3,10420,"Akron, OH Metropolitan Statistical Area","(41.1466315, -81.3501066)","Akron, OH "
4,10580,"Albany-Schenectady-Troy, NY Metropolitan Statistical Area","(42.65244, -73.76085)","Albany-Schenectady-Troy, NY "
5,10740,"Albuquerque, NM Metropolitan Statistical Area","(35.1165976, -106.4565247)","Albuquerque, NM "
6,10900,"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area","(40.7892985, -75.3983269)","Allentown-Bethlehem-Easton, PA-NJ "
7,11244,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Division","(34.065193, -118.244222)","Los Angeles-Long Beach-Anaheim, CA "
8,11260,"Anchorage, AK Metropolitan Statistical Area","(26.936, -114.896)","Anchorage, AK "
9,11700,"Asheville, NC Metropolitan Statistical Area","(35.5956625, -82.6816107)","Asheville, NC "
10,12060,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area","(33.6952845, -84.4389383)","Atlanta-Sandy Springs-Roswell, GA "
11,12100,"Atlantic City-Hammonton, NJ Metropolitan Statistical Area","(39.469346, -74.6337568)","Atlantic City-Hammonton, NJ "
12,12260,"Augusta-Richmond County, GA-SC Metropolitan Statistical Area","(33.4372136, -81.9561532)","Augusta-Richmond County, GA-SC "
13,12300,"Augusta-Waterville, ME Micropolitan Statistical Area","(44.4170028, -69.7657636)","Augusta-Waterville, ME "
14,12420,"Austin-Round Rock, TX Metropolitan Statistical Area","(30.2395076, -97.6912621)","Austin-Round Rock, TX "
15,12580,"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area","(39.3043531, -76.5494987)","Baltimore-Columbia-Towson, MD "
16,12620,"Bangor, ME Metropolitan Statistical Area","(45.3905929, -68.6574869)","Bangor, ME "
17,12700,"Barnstable Town, MA Metropolitan Statistical Area","(41.7988102, -70.2110824)","Barnstable Town, MA "
18,12740,"Barre, VT Micropolitan Statistical Area","(44.2749442, -72.6094737)","Barre, VT "
19,12940,"Baton Rouge, LA Metropolitan Statistical Area","(30.5708797, -91.1346142)","Baton Rouge, LA "
20,13220,"Beckley, WV Metropolitan Statistical Area","(37.77759, -81.18764)","Beckley, WV "
21,13380,"Bellingham, WA Metropolitan Statistical Area","(48.8255705174443, -121.704252228333)","Bellingham, WA "
22,13620,"Berlin, NH-VT Micropolitan Statistical Area","(44.6998938928246, -71.4215970275854)","Berlin, NH-VT "
23,13644,"Bethesda-Rockville-Frederick, MD Metropolitan Division","(39.3321125, -77.3162122)","Bethesda-Rockville-Frederick, MD "
24,13740,"Billings, MT Metropolitan Statistical Area","(45.6424248, -108.599649)","Billings, MT "
25,13780,"Binghamton, NY Metropolitan Statistical Area","(42.09869, -75.91136)","Binghamton, NY "
26,13820,"Birmingham-Hoover, AL Metropolitan Statistical Area","(33.4623655, -86.8143329)","Birmingham-Hoover, AL "
27,13900,"Bismarck, ND Metropolitan Statistical Area","(46.8373476, -100.9054398)","Bismarck, ND "
28,14260,"Boise City, ID Metropolitan Statistical Area","(43.0066426, -116.141896)","Boise City, ID "
29,14454,"Boston, MA Metropolitan Division","(-70.8754256, 42.0625412)","Boston, MA "
30,14484,"Boston-Quincy, MA Metropolitan Division","(42.0625412, -70.8754256)","Boston-Quincy, MA "
31,14500,"Boulder, CO Metropolitan Statistical Area","(40.0948313, -105.3983667)","Boulder, CO "
32,14580,"Bozeman, MT Micropolitan Statistical Area","(45.535552, -111.1734307)","Bozeman, MT "
