,Locationabbr,QuestionID,RESPONSEID,mean_and_cl,param_list,trend_class
0,10020,BLOODCHO,RESP046,"[[75.37, nan, nan, nan, nan, nan, nan], [66.49, nan, nan, nan, nan, nan, nan]]","[0, 0, 75.37, 2011, 2011, 75.37, 75.37, 0, 0]",00
1,10020,Custom_8,Custom_8,"[[46.70293220114104, nan, nan, nan, nan, nan, nan], [36.662352908239626, nan, nan, nan, nan, nan, nan]]","[0, 0, 46.70293220114104, 2011, 2011, 46.70293220114104, 46.70293220114104, 0, 0]",00
2,10020,Custom_9,Custom_9,"[[59.519999999999996, nan, nan, nan, nan, nan, nan], [44.72474400356654, nan, nan, nan, nan, nan, nan]]","[0, 0, 59.519999999999996, 2011, 2011, 59.519999999999996, 59.519999999999996, 0, 0]",00
3,10020,DIABETE3,RESP046,"[[11.1, nan, nan, nan, nan, nan, nan], [7.77, nan, nan, nan, nan, nan, nan]]","[0, 0, 11.1, 2011, 2011, 11.1, 11.1, 0, 0]",00
4,10020,DRNKANY5,RESP046,"[[55.12, nan, nan, nan, nan, nan, nan], [46.79, nan, nan, nan, nan, nan, nan]]","[0, 0, 55.12, 2011, 2011, 55.12, 55.12, 0, 0]",00
5,10020,_HCVU651,RESP046,"[[80.58, nan, nan, nan, nan, nan, nan], [73.39, nan, nan, nan, nan, nan, nan]]","[0, 0, 80.58, 2011, 2011, 80.58, 80.58, 0, 0]",00
6,10020,_RFHLTH,RESP061,"[[80.3, nan, nan, nan, nan, nan, nan], [75.28, nan, nan, nan, nan, nan, nan]]","[0, 0, 80.3, 2011, 2011, 80.3, 80.3, 0, 0]",00
7,10020,_RFHYPE5,RESP046,"[[33.58, nan, nan, nan, nan, nan, nan], [26.97, nan, nan, nan, nan, nan, nan]]","[0, 0, 33.58, 2011, 2011, 33.58, 33.58, 0, 0]",00
8,10020,_RFSMOK3,RESP046,"[[16.2, nan, nan, nan, nan, nan, nan], [11.91, nan, nan, nan, nan, nan, nan]]","[0, 0, 16.2, 2011, 2011, 16.2, 16.2, 0, 0]",00
9,10020,_TOTINDA,RESP046,"[[67.56, nan, nan, nan, nan, nan, nan], [59.78, nan, nan, nan, nan, nan, nan]]","[0, 0, 67.56, 2011, 2011, 67.56, 67.56, 0, 0]",00
10,10100,BLOODCHO,RESP046,"[[76.26, nan, nan, nan, 85.18, nan, nan], [69.01, nan, nan, nan, 80.55, nan, nan]]","[0, 2.23, -4408.27, 2011, 2015, 76.25999999999931, 85.17999999999938, 2.23, 2.23]",0+
11,10100,Custom_8,Custom_8,"[[58.025177025963806, nan, nan, nan, 33.17680206621272, nan, nan], [46.21915022717715, nan, nan, nan, 27.56122049648114, nan, nan]]","[0, -6.21209373993777, 12550.54568804082, 2011, 2015, 58.025177025963785, 33.176802066212986, -6.21209373993777, -6.21209373993777]",0+
12,10100,Custom_9,Custom_9,"[[62.04, nan, nan, 74.14, 69.82000000000001, nan, 65.64], [46.35575312614597, nan, nan, 62.24665312033656, 58.40246523981644, nan, 51.24253841817941]]","[-0.95943035561634, 3865.114686108272, -3892631.0186791685, 2011, 2017, 62.16589905787259, 65.34118117112666, 6.285795819352188, -5.227368448043762]",-+
13,10100,DIABETE3,RESP046,"[[6.11, nan, nan, 7.33, 8.59, nan, 12.1], [3.82, nan, nan, 5.25, 5.92, nan, 8.12]]","[0.1926639953143731, -775.0510878967522, 779477.3342074337, 2011, 2017, 6.105841823038645, 12.102753200219013, -0.15649874234361505, 2.1554692014289003]",--
14,10100,DRNKANY5,RESP046,"[[48.89, nan, nan, 62.47, 59.13, nan, 52.77], [41.52, nan, nan, 57.08, 53.64, nan, 45.54]]","[-1.1499274280464644, 4632.508421660158, -4665479.796203081, 2011, 2017, 48.979516800493, 52.58396573737264, 7.500306057278067, -6.298823079278918]",-+
15,10100,_HCVU651,RESP046,"[[85.05, nan, nan, 90.71, 89.39, nan, 88.38], [78.27, nan, nan, 85.4, 85.12, nan, 82.7]]","[-0.388880309154942, 1566.9386717641428, -1578349.5533218405, 2011, 2017, 85.09085585759021, 88.26357478601858, 2.8620683429660403, -1.8044953668932067]",+-
16,10100,_RFHLTH,RESP061,"[[79.82, nan, nan, 83.65, 88.35, nan, 86.74], [74.29, nan, nan, 79.67, 85.17, nan, 82.49]]","[0, 1.282006008015134, -2498.0232438082867, 2011, 2017, 80.09083831014777, 87.78287435823859, 1.282006008015134, 1.282006008015134]",0+
17,10100,_RFHYPE5,RESP046,"[[31.97, nan, nan, nan, 28.62, nan, 31.58], [25.44, nan, nan, nan, 24.19, nan, 25.37]]","[0, -0.13993223714594388, 313.0026026310253, 2011, 2017, 31.598873730532148, 30.759280307656468, -0.13993223714594388, -0.13993223714594388]",0+
18,10100,_RFSMOK3,RESP046,"[[24.08, nan, nan, 18.64, 15.04, nan, 16.27], [17.51, nan, nan, 13.29, 10.71, nan, 10.68]]","[0.26591911158084297, -1072.47197723329, 1081356.2395169511, 2011, 2017, 24.15674623521045, 16.057971521047875, -2.9453104551396336, 0.24571888383047735]",+-
19,10100,_TOTINDA,RESP046,"[[70.68, nan, nan, 74.24, 74.82, nan, 69.26], [64.15, nan, nan, 68.83, 69.82, nan, 61.87]]","[-0.536798312503492, 2162.0079997538596, -2176850.128482347, 2011, 2017, 70.63066273042932, 69.33704466931522, 3.005186864814732, -3.4363928852271783]",--
20,10380,BLOODCHO,RESP046,"[[nan, nan, 83.06, nan, nan, nan, nan], [nan, nan, 78.61, nan, nan, nan, nan]]","[0, 0, 83.06, 2013, 2013, 83.06, 83.06, 0, 0]",00
21,10380,Custom_8,Custom_8,"[[nan, nan, 42.583674452203226, nan, nan, nan, nan], [nan, nan, 35.81848563791762, nan, nan, nan, nan]]","[0, 0, 42.583674452203226, 2013, 2013, 42.583674452203226, 42.583674452203226, 0, 0]",00
22,10380,Custom_9,Custom_9,"[[nan, 67.84, 63.540000000000006, 68.3, nan, nan, nan], [nan, 58.03710246916761, 53.03557712199286, 57.033407791173055, nan, nan, nan]]","[0, 0.4400076034998146, -819.184101823979, 2012, 2014, 66.11119641764799, 66.99121162464769, 0.4400076034998146, 0.4400076034998146]",0-
23,10380,DIABETE3,RESP046,"[[nan, 15.16, 14.75, 18.51, nan, nan, nan], [nan, 11.85, 11.42, 14.81, nan, nan, nan]]","[0, 1.7473829836676624, -3501.299478495722, 2012, 2014, 14.435084643615028, 17.929850610950325, 1.7473829836676624, 1.7473829836676624]",0-
24,10380,DRNKANY5,RESP046,"[[nan, 24.88, 23.97, 25.61, nan, nan, nan], [nan, 20.45, 18.78, 20.81, nan, nan, nan]]","[0, 0.4046525554883423, -789.8159742204789, 2012, 2014, 24.344967422065793, 25.154272533042445, 0.4046525554883423, 0.4046525554883423]",0-
25,10380,_HCVU651,RESP046,"[[nan, 92.33, 97.79, 89.49, nan, nan, nan], [nan, 89.25, 96.18, 85.55, nan, nan, nan]]","[0, -1.584655867021292, 3281.504371761917, 2012, 2014, 93.17676731507754, 90.00745558103472, -1.584655867021292, -1.584655867021292]",0-
26,10380,_RFHLTH,RESP061,"[[nan, 62.68, 65.57, 67.11, nan, nan, nan], [nan, 58.09, 60.61, 62.45, nan, nan, nan]]","[0, 2.2112698477917347, -4386.144733005483, 2012, 2014, 62.930200751487064, 67.35274044707057, 2.2112698477917347, 2.2112698477917347]",0+
27,10380,_RFHYPE5,RESP046,"[[nan, nan, 40.27, nan, nan, nan, nan], [nan, nan, 35.27, nan, nan, nan, nan]]","[0, 0, 40.27, 2013, 2013, 40.27, 40.27, 0, 0]",00
28,10380,_RFSMOK3,RESP046,"[[nan, 12.65, 12.68, 10.55, nan, nan, nan], [nan, 9.0, 8.62, 7.26, nan, nan, nan]]","[0, -1.0043747963412548, 2033.8474246661765, 2012, 2014, 13.045334427571788, 11.036584834889254, -1.0043747963412548, -1.0043747963412548]",0+
29,10380,_TOTINDA,RESP046,"[[nan, 52.72, 56.35, 56.84, nan, nan, nan], [nan, 47.88, 51.12, 51.63, nan, nan, nan]]","[0, 2.019332861251955, -4009.583997392441, 2012, 2014, 53.31371944649254, 57.352385168996534, 2.019332861251955, 2.019332861251955]",0+
30,10420,BLOODCHO,RESP046,"[[80.34, nan, 80.11, nan, 76.91, nan, nan], [75.34, nan, 74.7, nan, 69.95, nan, nan]]","[0, -0.9303406758570256, 1951.8571943780867, 2011, 2015, 80.94209522960819, 77.22073252617997, -0.9303406758570256, -0.9303406758570256]",0-
